Participant,Run,IncludeRun,RunNum,TrialNum,Onset2,Response,RT,IsInterpolated,InfFeed,Posteriors
NF133,Run_03,FALSE,3,9,311,0,2.20339999999999,FALSE,no_inf_exp.low_neg_out,0.5207
NF133,Run_03,FALSE,3,9,333,0,1.63319999999999,FALSE,no_inf_exp.low_neg_out,-0.3194
NF133,Run_03,FALSE,3,10,348,0,1.92720000000003,FALSE,no_inf_exp.low_neg_out,0.5368
NF133,Run_03,FALSE,3,10,369,0,2.32749999999999,FALSE,no_inf_exp.low_neg_out,-0.3614
NF133,Run_03,FALSE,3,11,384,0,1.67349999999999,FALSE,inf_exp.high_neg_out,0.5519
NF133,Run_03,FALSE,3,11,407,0,1.75740000000002,FALSE,inf_exp.high_neg_out,-0.4009
NF133,Run_03,FALSE,3,12,422,NA,NA,FALSE,inf_exp.low_neg_out,0.3942
NF133,Run_03,FALSE,3,12,445,0,2.40890000000002,FALSE,inf_exp.low_neg_out,-0.3406
NF133,Run_04,FALSE,4,1,16,0,0.633299999999998,FALSE,no_inf_exp.high_neg_out,0.3081
NF133,Run_04,FALSE,4,1,37,0,1.3169,FALSE,no_inf_exp.high_neg_out,-0.3077
NF133,Run_04,FALSE,4,2,52,0,1.4961,FALSE,no_inf_exp.low_neg_out,0.3481
NF133,Run_04,FALSE,4,2,75,0,1.1525,FALSE,no_inf_exp.low_neg_out,-0.4122
NF133,Run_04,FALSE,4,3,90,0,0.975200000000001,FALSE,inf_exp.low_pos_out,0.3619
NF133,Run_04,FALSE,4,3,112,0,1.1936,FALSE,inf_exp.low_pos_out,-0.4486
NF133,Run_04,FALSE,4,4,127,0,0.970799999999997,FALSE,no_inf_exp.high_neg_out,0.4013
NF133,Run_04,FALSE,4,4,150,0,1.50819999999999,FALSE,no_inf_exp.high_neg_out,-0.4636
NF133,Run_04,FALSE,4,5,165,0,1.5874,FALSE,inf_exp.low_pos_out,0.4376
NF133,Run_04,FALSE,4,5,188,0,1.5043,FALSE,inf_exp.low_pos_out,-0.5585
NF133,Run_04,FALSE,4,6,203,0,1.66499999999999,FALSE,inf_exp.low_neg_out,0.4723
NF133,Run_04,FALSE,4,6,224,0,1.63570000000001,FALSE,inf_exp.low_neg_out,-0.5718
NF133,Run_04,FALSE,4,7,239,0,2.37649999999999,FALSE,no_inf_exp.low_neg_out,0.3814
NF133,Run_04,FALSE,4,7,260,NA,NA,FALSE,no_inf_exp.low_neg_out,-0.537
NF133,Run_04,FALSE,4,8,274,NA,NA,FALSE,inf_exp.high_neg_out,0.3923
NF133,Run_04,FALSE,4,8,297,NA,NA,FALSE,inf_exp.high_neg_out,-0.5656
NF133,Run_04,FALSE,4,9,312,NA,NA,FALSE,inf_exp.high_pos_out,0.2446
NF133,Run_04,FALSE,4,9,334,NA,NA,FALSE,inf_exp.high_pos_out,-0.5092
NF133,Run_04,FALSE,4,10,349,NA,NA,FALSE,inf_exp.high_pos_out,0.353
NF133,Run_04,FALSE,4,10,370,NA,NA,FALSE,inf_exp.high_pos_out,-0.5506
NF133,Run_04,FALSE,4,11,385,NA,NA,FALSE,no_inf_exp.low_pos_out,0.4547
NF133,Run_04,FALSE,4,11,407,NA,NA,FALSE,no_inf_exp.low_pos_out,-0.5895
NF133,Run_04,FALSE,4,12,422,NA,NA,FALSE,no_inf_exp.high_pos_out,0.4172
NF133,Run_04,FALSE,4,12,445,NA,NA,FALSE,no_inf_exp.high_pos_out,-0.4913
NF133,Run_05,TRUE,5,1,16,0,0.720600000000001,FALSE,inf_exp.high_pos_out,0.3584
NF133,Run_05,TRUE,5,1,38,1,1.8122,FALSE,inf_exp.high_pos_out,-0.3374
NF133,Run_05,TRUE,5,2,53,0,0.637799999999999,FALSE,inf_exp.low_pos_out,0.4598
NF133,Run_05,TRUE,5,2,74,0,1.2064,FALSE,inf_exp.low_pos_out,-0.3762
